book,order,heading_id,section_type,title,heading_text,pov,word_count,pc1,pc2
Words of Radiance,60,chapter_48,chapter,No More Weakness,Chapter 48: No More Weakness,Shallan,3341,0.036373367483401524,0.020529878798158062
Words of Radiance,61,chapter_49,chapter,Watching the World Transform,Chapter 49: Watching the World Transform,Shallan,6331,0.005198061821090256,-0.00032632398274227373
Words of Radiance,62,chapter_50,chapter,Uncut Gems,Chapter 50: Uncut Gems,Adolin,2864,0.004809302772798224,0.009789122863613112
Words of Radiance,63,chapter_51,chapter,Heirs,Chapter 51: Heirs,Adolin,2814,0.014428145121466463,0.011237426848736444
Words of Radiance,64,chapter_52,chapter,Into the Sky,Chapter 52: Into the Sky,Kaladin,7987,-0.004679978457069176,-0.0017781356137077512
Words of Radiance,65,chapter_53,chapter,Perfection,Chapter 53: Perfection,Adolin,2317,0.005197571306494405,0.0074033904578713
Words of Radiance,66,chapter_54,chapter,Veil's Lesson,Chapter 54: Veil's Lesson,Shallan,4428,-0.001072583167394427,-0.00912674802334241
Words of Radiance,67,chapter_55,chapter,The Rules of the Game,Chapter 55: The Rules of the Game,Kaladin,6193,-0.0023364112825249106,-0.0025366750023519823
Words of Radiance,68,chapter_56,chapter,Whitespine Uncaged,Chapter 56: Whitespine Uncaged,Kaladin,4993,-0.006443605214322924,0.010654550793748368
Words of Radiance,69,chapter_57,chapter,To Kill the Wind,Chapter 57: To Kill the Wind,Kaladin,3854,-0.010745338930174798,0.009850057158465386
Words of Radiance,70,chapter_58,chapter,Never Again,Chapter 58: Never Again,Kaladin,1707,-0.0030016558876946957,0.00577249986578005
Words of Radiance,71,interlude_9,interlude,,Interlude I-9,Lift,10612,-0.0007755199142143002,-0.0054120224651639385
Words of Radiance,72,interlude_10,interlude,,Interlude I-10,Szeth,770,-0.006023886249588786,-0.009853972851423616
Words of Radiance,73,interlude_11,interlude,,Interlude I-11,Eshonai,4780,-0.008871906308402698,-0.018422799294846724
Words of Radiance,75,chapter_59,chapter,Fleet,Chapter 59: Fleet,Kaladin,2817,-0.006354500984067987,-0.001708480065768817
Words of Radiance,76,chapter_60,chapter,Veil Walks,Chapter 60: Veil Walks,Shallan,3168,-0.002197561229476593,-0.01451404560099423
Words of Radiance,77,chapter_61,chapter,Obedience,Chapter 61: Obedience,Shallan,1862,0.07899570717824164,0.03477796457561822
Words of Radiance,78,chapter_62,chapter,The One Who Killed Promises,Chapter 62: The One Who Killed Promises,Kaladin,2162,-0.001776999690421162,0.0076341201959660805
Words of Radiance,79,chapter_63,chapter,A Burning World,Chapter 63: A Burning World,Shallan,5536,0.003502990916228165,-0.007941981557055559
Words of Radiance,80,chapter_64,chapter,Treasures,Chapter 64: Treasures,Shallan,1682,0.0024717341092998584,-0.01138270613842471
Words of Radiance,81,chapter_65,chapter,The One Who Deserves It,Chapter 65: The One Who Deserves It,Shallan,1818,0.035920649022538935,0.015053637374096778
Words of Radiance,82,chapter_66,chapter,Stormblessings,Chapter 66: Stormblessings,Kaladin,3077,-0.0025188609724904895,0.011952497199435681
Words of Radiance,83,chapter_67,chapter,Spit and Bile,Chapter 67: Spit and Bile,Dalinar,5938,-0.003218982496392425,-0.002900324849214422
Words of Radiance,84,chapter_68,chapter,Bridges,Chapter 68: Bridges,Kaladin,7167,-0.022061910691682677,0.023632585724793077
Words of Radiance,85,chapter_69,chapter,Nothing,Chapter 69: Nothing,Shallan,3993,-0.009887718062937534,0.0008234041132586783
Words of Radiance,86,chapter_70,chapter,From a Nightmare,Chapter 70: From a Nightmare,Kaladin,4779,-0.006342185959016765,-0.0053618370720006575
Words of Radiance,87,chapter_71,chapter,Vigil,Chapter 71: Vigil,Kaladin,5968,-0.006714489148148436,-0.0027082000610468664
Words of Radiance,88,chapter_72,chapter,Selfish Reasons,Chapter 72: Selfish Reasons,Shallan,4085,-0.007781511703053326,-0.004072526977150181
Words of Radiance,89,chapter_73,chapter,A Thousand Scurrying Creatures,Chapter 73: A Thousand Scurrying Creatures,Shallan,2857,0.05797567608996318,0.0251492330470469
Words of Radiance,90,chapter_74,chapter,Striding the Storm,Chapter 74: Striding the Storm,Kaladin,2717,-0.0014521558366736135,0.0032705552765682554
Words of Radiance,91,chapter_75,chapter,True Glory,Chapter 75: True Glory,Dalinar,3864,0.0006490002298392983,0.0002237179230499105
Words of Radiance,92,interlude_12,interlude,,Interlude I-12,Lhan,2539,-0.00013757076286975646,-0.013318465615938446
Words of Radiance,93,interlude_13,interlude,,Interlude I-13,Eshonai,517,-0.01603614619681359,-0.038727944863540184
Words of Radiance,94,interlude_14,interlude,,Interlude I-14,Taravangian,7088,-0.0031218231732248287,-0.003168945335033383
Words of Radiance,96,chapter_76,chapter,The Hidden Blade,Chapter 76: The Hidden Blade,Kaladin,4970,-0.009008079310140388,0.00798831403490189
Words of Radiance,97,chapter_77,chapter,Trust,Chapter 77: Trust,Shallan,3961,-0.0012817107008208932,-0.0040488155554501935
Words of Radiance,98,chapter_78,chapter,Contradictions,Chapter 78: Contradictions,Shallan,3332,-0.00989914476877008,9.324986650714107e-06
Words of Radiance,99,chapter_79,chapter,Toward the Center,Chapter 79: Toward the Center,Dalinar,1523,-0.011655676716501358,0.0018263515125113415
Words of Radiance,100,chapter_80,chapter,To Fight the Rain,Chapter 80: To Fight the Rain,Kaladin,3573,-0.007023614664234287,0.0002062144747924637
Words of Radiance,101,chapter_81,chapter,The Last Day,Chapter 81: The Last Day,Dalinar,7281,-0.009439404998993504,0.00236172431961499
Words of Radiance,102,chapter_82,chapter,For Glory Lit,Chapter 82: For Glory Lit,Kaladin,4124,-0.01267234101310614,0.009190594294544174
Words of Radiance,103,chapter_83,chapter,Time's Illusion,Chapter 83: Time's Illusion,Adolin,3858,-0.01290019790428381,0.007472379016402447
Words of Radiance,104,chapter_84,chapter,The One Who Saves,Chapter 84: The One Who Saves,Kaladin,3121,-0.006612277447317081,-0.0010714015995576945
Words of Radiance,105,chapter_85,chapter,Swallowed by the Sky,Chapter 85: Swallowed by the Sky,Dalinar,3424,-0.0021488277708217648,0.011029491529480944
Words of Radiance,106,chapter_86,chapter,Patterns of Light,Chapter 86: Patterns of Light,Shallan,6044,-0.009456541781147779,0.001382625933802991
Words of Radiance,107,chapter_87,chapter,The Riddens,Chapter 87: The Riddens,Kaladin,4542,-0.010385050507664055,-0.0005115350816895501
Words of Radiance,108,chapter_88,chapter,The Man Who Owned the Winds,Chapter 88: The Man Who Owned the Winds,Shallan,4224,0.006230524528806954,-0.00277036153008131
Words of Radiance,109,chapter_89,chapter,The Four,Chapter 89: The Four,Adolin,4069,0.002153721716041555,-0.0038829444377706155
Words of Radiance,110,epilogue,epilogue,Art and Expectation,Epilogue: Art and Expectation,Wit,1818,-0.004533958997735266,-0.009273936469168308
