narr_pos,book,book_short,chapter_order,heading_id,section_type,part_number,pov,heading_text,n_paras,compound_mean,compound_std,pos_mean,neg_mean
164,Words of Radiance,WoR,81,chapter_65,chapter,4.0,Shallan,Chapter 65: The One Who Deserves It,62,0.03061,0.44634,0.07227,0.05261
165,Words of Radiance,WoR,82,chapter_66,chapter,4.0,Kaladin,Chapter 66: Stormblessings,115,0.08338,0.44493,0.08369,0.07278
166,Words of Radiance,WoR,83,chapter_67,chapter,4.0,Dalinar,Chapter 67: Spit and Bile,221,0.05692,0.43021,0.10757,0.07008
167,Words of Radiance,WoR,84,chapter_68,chapter,4.0,Kaladin,Chapter 68: Bridges,269,0.02518,0.45509,0.08571,0.08043
168,Words of Radiance,WoR,85,chapter_69,chapter,4.0,Shallan,Chapter 69: Nothing,159,-0.01747,0.42744,0.09389,0.07895
169,Words of Radiance,WoR,86,chapter_70,chapter,4.0,Kaladin,Chapter 70: From a Nightmare,188,0.03138,0.42724,0.08523,0.0898
170,Words of Radiance,WoR,87,chapter_71,chapter,4.0,Kaladin,Chapter 71: Vigil,273,-0.00242,0.43032,0.1034,0.08267
171,Words of Radiance,WoR,88,chapter_72,chapter,4.0,Shallan,Chapter 72: Selfish Reasons,171,-0.08503,0.43439,0.07378,0.10301
172,Words of Radiance,WoR,89,chapter_73,chapter,4.0,Shallan,Chapter 73: A Thousand Scurrying Creatures,141,-0.12041,0.42289,0.05822,0.11039
173,Words of Radiance,WoR,90,chapter_74,chapter,4.0,Kaladin,Chapter 74: Striding the Storm,93,-0.15059,0.4682,0.06458,0.09503
174,Words of Radiance,WoR,91,chapter_75,chapter,4.0,Dalinar,Chapter 75: True Glory,166,0.08414,0.4071,0.10617,0.06377
175,Words of Radiance,WoR,92,interlude_12,interlude,4.0,Lhan,Interlude I-12,78,0.04532,0.52497,0.09324,0.08827
176,Words of Radiance,WoR,93,interlude_13,interlude,4.0,Eshonai,Interlude I-13,23,-0.01917,0.55278,0.10274,0.10296
177,Words of Radiance,WoR,94,interlude_14,interlude,4.0,Taravangian,Interlude I-14,246,0.00979,0.47889,0.08727,0.07975
178,Words of Radiance,WoR,96,chapter_76,chapter,5.0,Kaladin,Chapter 76: The Hidden Blade,213,0.0854,0.45973,0.10118,0.0739
179,Words of Radiance,WoR,97,chapter_77,chapter,5.0,Shallan,Chapter 77: Trust,159,0.09284,0.43015,0.11242,0.0796
180,Words of Radiance,WoR,98,chapter_78,chapter,5.0,Shallan,Chapter 78: Contradictions,132,0.08193,0.43017,0.09467,0.06918
181,Words of Radiance,WoR,99,chapter_79,chapter,5.0,Dalinar,Chapter 79: Toward the Center,63,-0.01947,0.36252,0.05195,0.0406
182,Words of Radiance,WoR,100,chapter_80,chapter,5.0,Kaladin,Chapter 80: To Fight the Rain,119,0.06996,0.48873,0.12782,0.06987
183,Words of Radiance,WoR,101,chapter_81,chapter,5.0,Dalinar,Chapter 81: The Last Day,283,-0.02137,0.41918,0.06693,0.07786
184,Words of Radiance,WoR,102,chapter_82,chapter,5.0,Kaladin,Chapter 82: For Glory Lit,149,-0.12044,0.41422,0.05934,0.08197
185,Words of Radiance,WoR,103,chapter_83,chapter,5.0,Adolin,Chapter 83: Time's Illusion,146,-0.08798,0.41254,0.06117,0.08193
186,Words of Radiance,WoR,104,chapter_84,chapter,5.0,Kaladin,Chapter 84: The One Who Saves,134,-0.03142,0.4526,0.07457,0.10875
187,Words of Radiance,WoR,105,chapter_85,chapter,5.0,Dalinar,Chapter 85: Swallowed by the Sky,144,-0.07293,0.41804,0.06272,0.08863
188,Words of Radiance,WoR,106,chapter_86,chapter,5.0,Shallan,Chapter 86: Patterns of Light,262,-0.05374,0.41841,0.09183,0.08382
189,Words of Radiance,WoR,107,chapter_87,chapter,5.0,Kaladin,Chapter 87: The Riddens,164,-0.00126,0.43284,0.06767,0.08026
190,Words of Radiance,WoR,108,chapter_88,chapter,5.0,Shallan,Chapter 88: The Man Who Owned the Winds,174,-0.0008,0.45941,0.0762,0.08936
191,Words of Radiance,WoR,109,chapter_89,chapter,5.0,Adolin,Chapter 89: The Four,151,-0.0316,0.42853,0.08342,0.08145
