book,order,section_type,part_number,number,title,heading_id,heading_text,pov,word_count,line_start,line_end
The Way of Kings,42,chapter,3,31,Beneath the Skin,chapter_31,Chapter 31: Beneath the Skin,Kaladin,1990,11934,12057
The Way of Kings,43,chapter,3,32,Side Carry,chapter_32,Chapter 32: Side Carry,Kaladin,4862,12058,12373
The Way of Kings,44,chapter,3,33,Cymatics,chapter_33,Chapter 33: Cymatics,Shallan,5752,12374,12781
The Way of Kings,45,chapter,3,34,Stormwall,chapter_34,Chapter 34: Stormwall,Kaladin,2028,12782,12935
The Way of Kings,46,chapter,3,35,A Light by Which to See,chapter_35,Chapter 35: A Light by Which to See,Kaladin,1950,12936,13033
The Way of Kings,47,chapter,3,36,The Lesson,chapter_36,Chapter 36: The Lesson,Shallan,5482,13034,13391
The Way of Kings,48,chapter,3,37,Sides,chapter_37,Chapter 37: Sides,Kaladin,5809,13392,13849
The Way of Kings,49,chapter,3,38,Envisager,chapter_38,Chapter 38: Envisager,Kaladin,1761,13850,13981
The Way of Kings,50,chapter,3,39,Burned Into Her,chapter_39,Chapter 39: Burned Into Her,Shallan,3791,13982,14161
The Way of Kings,51,chapter,3,40,Eyes of Red and Blue,chapter_40,Chapter 40: Eyes of Red and Blue,Kaladin,5095,14162,14511
The Way of Kings,52,chapter,3,41,Of Alds and Milp,chapter_41,Chapter 41: Of Alds and Milp,Kaladin,2075,14512,14675
The Way of Kings,53,chapter,3,42,Beggars and Barmaids,chapter_42,Chapter 42: Beggars and Barmaids,Shallan,5444,14676,15091
The Way of Kings,54,chapter,3,43,The Wretch,chapter_43,Chapter 43: The Wretch,Kaladin,4588,15092,15447
The Way of Kings,55,chapter,3,44,The Weeping,chapter_44,Chapter 44: The Weeping,Kaladin,4723,15448,15795
The Way of Kings,56,chapter,3,45,Shadesmar,chapter_45,Chapter 45: Shadesmar,Shallan,7845,15796,16347
The Way of Kings,57,chapter,3,46,Child of Tanavast,chapter_46,Chapter 46: Child of Tanavast,Kaladin,7194,16348,16859
The Way of Kings,58,chapter,3,47,Stormblessings,chapter_47,Chapter 47: Stormblessings,Kaladin,4871,16860,17191
The Way of Kings,59,chapter,3,48,Strawberry,chapter_48,Chapter 48: Strawberry,Shallan,3453,17192,17471
The Way of Kings,60,chapter,3,49,To Care,chapter_49,Chapter 49: To Care,Kaladin,3553,17472,17699
The Way of Kings,61,chapter,3,50,Backbreaker Powder,chapter_50,Chapter 50: Backbreaker Powder,Shallan,1269,17700,17809
The Way of Kings,62,chapter,3,51,Sas Nahn,chapter_51,Chapter 51: Sas Nahn,Kaladin,1889,17810,17957
The Way of Kings,63,interlude,3,7,Baxil,interlude_7,Interlude I-7: Baxil,Baxil,1265,17958,18055
The Way of Kings,64,interlude,3,8,Geranid,interlude_8,Interlude I-8: Geranid,Geranid,1444,18056,18175
The Way of Kings,65,interlude,3,9,Death Wears White,interlude_9,Interlude I-9: Death Wears White,Szeth,2880,18176,18333
The Way of Kings,66,part,4,4,Storm's Illumination,part_4,Part Four: Storm's Illumination,,7,18334,18337
The Way of Kings,67,chapter,4,52,A Highway to the Sun,chapter_52,Chapter 52: A Highway to the Sun,Dalinar/Adolin,6986,18338,18809
The Way of Kings,68,chapter,4,53,Dunny,chapter_53,Chapter 53: Dunny,Kaladin,2681,18810,18979
The Way of Kings,69,chapter,4,54,Gibletish,chapter_54,Chapter 54: Gibletish,Dalinar,5564,18980,19357
The Way of Kings,70,chapter,4,55,An Emerald Broam,chapter_55,Chapter 55: An Emerald Broam,Kaladin,5826,19358,19747
The Way of Kings,71,chapter,4,56,That Storming Book,chapter_56,Chapter 56: That Storming Book,Dalinar,4772,19748,19987
The Way of Kings,72,chapter,4,57,Wandersail,chapter_57,Chapter 57: Wandersail,Kaladin,8941,19988,20645
The Way of Kings,73,chapter,4,58,The Journey,chapter_58,Chapter 58: The Journey,Dalinar/Adolin,7379,20646,21115
The Way of Kings,74,chapter,4,59,An Honor,chapter_59,Chapter 59: An Honor,Kaladin,6573,21116,21575
The Way of Kings,75,chapter,4,60,That Which We Cannot Have,chapter_60,Chapter 60: That Which We Cannot Have,Dalinar,4150,21576,21879
The Way of Kings,76,chapter,4,61,Right for Wrong,chapter_61,Chapter 61: Right for Wrong,Dalinar,3135,21880,22145
The Way of Kings,77,chapter,4,62,Three Glyphs,chapter_62,Chapter 62: Three Glyphs,Kaladin,5120,22146,22489
The Way of Kings,78,chapter,4,63,Fear,chapter_63,Chapter 63: Fear,Kaladin,2144,22490,22649
The Way of Kings,79,chapter,4,64,A Man of Extremes,chapter_64,Chapter 64: A Man of Extremes,Dalinar/Adolin,3174,22650,22883
The Way of Kings,80,chapter,4,65,The Tower,chapter_65,Chapter 65: The Tower,Dalinar,3965,22884,23097
The Way of Kings,81,chapter,4,66,Codes,chapter_66,Chapter 66: Codes,Dalinar,2479,23098,23241
The Way of Kings,82,chapter,4,67,Words,chapter_67,Chapter 67: Words,Kaladin,7334,23242,23823
The Way of Kings,83,chapter,4,68,Eshonai,chapter_68,Chapter 68: Eshonai,Dalinar,6746,23824,24237
The Way of Kings,84,chapter,4,69,Justice,chapter_69,Chapter 69: Justice,Dalinar,7657,24238,24759
The Way of Kings,85,part,5,5,The Silence Above,part_5,Part Five: The Silence Above,,9,24760,24763
The Way of Kings,86,chapter,5,70,Sea of Glass,chapter_70,Chapter 70: Sea of Glass,Shallan,2400,24764,24935
The Way of Kings,87,chapter,5,71,Recorded in Blood,chapter_71,Chapter 71: Recorded in Blood,Szeth,2559,24936,25107
The Way of Kings,88,chapter,5,72,Veristitalian,chapter_72,Chapter 72: Veristitalian,Shallan,802,25108,25193
The Way of Kings,89,chapter,5,73,Trust,chapter_73,Chapter 73: Trust,Kaladin,3406,25194,25485
The Way of Kings,90,chapter,5,74,Ghostblood,chapter_74,Chapter 74: Ghostblood,Shallan,934,25486,25549
The Way of Kings,91,chapter,5,75,In the Top Room,chapter_75,Chapter 75: In the Top Room,Dalinar,1982,25550,25691
The Way of Kings,92,epilogue,5,,Of Most Worth,epilogue,Epilogue: Of Most Worth,Wit,1598,25692,25790
Words of Radiance,1,prologue,,,To Question,prologue,Prologue: To Question,Jasnah,5263,1,394
Words of Radiance,2,part,1,1,Alight,part_1,Part One: Alight,,0,395,396
